ArX_Smiles,Acid_Smiles,additives,product,rxn,objective
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,C#CC(=O)c1ccccc1,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.C#CC(=O)c1ccccc1>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,280.88274
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,C#CC1(O)CCCCC1,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.C#CC1(O)CCCCC1>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,9658.20713
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,C#CCCCCO,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.C#CCCCCO>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,6876.127
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,C#CCCCc1ccccc1,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.C#CCCCc1ccccc1>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,8534.72267
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,C#Cc1ncccn1,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.C#Cc1ncccn1>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,273.14517
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,NC(=O)C(F)(F)F,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.NC(=O)C(F)(F)F>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,9782.01765
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,N#CCS(N)(=O)=O,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.N#CCS(N)(=O)=O>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,6273.06152
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,NC(=O)CC(N)=O,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.NC(=O)CC(N)=O>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,6731.26868
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,NC(=O)CC(=O)O,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.NC(=O)CC(=O)O>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,3028.98994
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,O=C(O)C(O)CO,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.O=C(O)C(O)CO>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,4773.03834
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,OCC(CO)CO,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.OCC(CO)CO>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,9283.6416
c1ccc(cc1)c2cc(cnc2)Br,C1CCC(CC1)C(=O)O,OCC(F)(F)F,c1ccc(cc1)c2cc(cnc2)C3CCCCC3,Brc1cncc(-c2ccccc2)c1.O=C(O)C1CCCCC1.OCC(F)(F)F>>c1ccc(-c2cncc(C3CCCCC3)c2)cc1,6632.26715
